id,latitude,longitude
084d2e22-770a-45a7-9b77-e061e08c429e,23.0167194,72.5914165
d4057fc5-2672-4320-bc02-5de0c60b0db8,23.0558669,72.5724451
2c467a67-bedc-4079-ae11-0524c6e5dac8,23.0171639,72.5301913
4a3fa225-c1c6-4c23-a024-1d193ab7b515,23.0984209,72.6298187
a6514150-75a5-433d-952a-3968fee10ac7,23.0984366,72.6296985
71349393-4fc2-491f-9b7f-bdd5368ff129,23.1025277,72.593949
ae540987-8e74-4ab7-8213-1ef566baab22,23.0694301,72.560786
e92e8736-2026-497a-93d3-9968948f0032,23.0719046,72.570766
b26a3fdd-4a0a-4c67-8e13-83cd0adff18f,23.0521753,72.5496735
caa0a25e-5938-48fb-be7a-4a26b465ac2d,23.0520352,72.5510506
7d9ee270-3d76-487c-9c3e-b8e05f8ab1cb,23.0719691,72.5420311
e7d2b93f-4319-4606-9ffc-fd37ef88a397,23.0640599,72.5305591
fce95e40-9cf9-4b03-a26e-51f6bf1fab9e,23.0697721,72.5228591
e01b485d-8d60-4784-858c-a625bc30c3e9,23.0476404,72.5439151
eda3bc9a-fd5f-4af4-a1d2-65191a2c178b,23.0705951,72.539122
3224f017-3c01-4446-983f-a39038b1e99a,23.0664131,72.5325122
0f5f8162-db52-4c47-a5fe-07fad6684eba,23.0668363,72.5463208
aba949fc-1134-47ea-90e5-f9d50fa77f93,23.055042,72.5441055
2ab3294a-2cac-4faf-8738-f45aefd248f7,23.0633705,72.5502667
9e575628-7fbf-448a-92d2-a318b9127358,23.0621725,72.533898
a170fe32-1a4f-485c-9859-7da6afad2025,23.0620772,72.5340086
8a7254a2-b744-4753-b8a4-2fdfd4b601dd,23.0789029,72.5896292
05082bad-e593-4323-a4e4-343ba3676590,23.0833778,72.590816
33436aef-74a9-43cf-b604-862601162051,23.082679,72.5903692
941cc631-ed97-4ea2-baa4-3b0fe0ff6644,23.0810011,72.5901551
c235285b-489f-4e67-a8ce-e34cdec526ba,23.094471,72.5855975
03df553d-c937-45db-94c4-2713a67bfdb9,23.0901997,72.5855889
bc734f45-ccdf-4712-a241-38c2ae4ede91,23.1152468,72.5830951
9b0ab05c-7bb2-4dee-aa1d-8b7bc5518adf,23.1012067,72.576411
9457fffe-b6b8-4e83-ac8b-f543a145a70a,23.113493,72.5772555
c65fa6d8-50ee-479f-8851-35d81e144e76,23.1026345,72.5758986
9681e38a-9780-4de4-a79c-9c2fe8e17eb8,23.0901997,72.5884986
553dba7b-8898-4a65-a0c8-4a2c953fe81f,23.0898917,72.5855801
cd97f892-1a3f-4724-bc18-b288e9dc3dae,23.1077328,72.5657726
0261c1d9-c8e5-4327-a67b-cfec5cd107a9,23.1182257,72.5615306
fc8c01bb-25d1-4fc4-9041-e5618dd2ef6a,23.1303154,72.5520208
d38bb17b-17a6-4ee3-80f5-b73469c0fff2,23.1306184,72.5490508
dec40a1e-de77-4d1b-949b-0685eb7866db,23.0063761,72.5893989
334ffd94-1647-4ce6-99a5-08247830b2c9,23.0040899,72.590132
88ff1f59-6026-4c4b-aec7-96d10c68cf37,22.9951225,72.6077543
9e9c10ec-bf83-448e-8d59-db6cd6fe768b,23.0100985,72.5930301
a3d6033a-28b4-443c-99e2-6c488d2c8295,23.0124164,72.5814975
29f8bf88-ebf2-487c-b3ef-2a29a85d7eec,23.0309291,72.569653
465c7817-7ce2-48e1-837d-c758f25f6e39,23.0522014,72.5619813
c1ad6688-93fb-4f4d-a3e0-959fa55eece0,23.0468356,72.5681674
9eedbd31-1e6d-4a4c-a785-1f413d464a98,23.0474175,72.5626097
89b1508b-0ec8-4a2b-8239-f0db6f21400e,23.0116336,72.5684075
6e74a76f-4e1c-4d86-bf3d-23f9ad388016,23.0106227,72.5650043
